,end_lat,end_long,route,start_lat,start_long
95,42.2389625,-88.9612389,0,42.2410444,-88.9755509
96,42.2389327,-88.9561709,0,42.2389625,-88.9612389
97,42.2364039,-88.9561449,0,42.2389327,-88.9561709
98,42.2355894,-88.9533296,0,42.2364039,-88.9561449
99,42.2346531,-88.9537695,0,42.2355894,-88.9533296
100,42.2229002,-88.9406737,0,42.2346531,-88.9537695
101,42.1221864,-88.7397221,0,42.2229002,-88.9406737
102,42.101578,-88.7059234,0,42.1221864,-88.7397221
103,42.0961462,-88.6858446,0,42.101578,-88.7059234
104,42.0887986,-88.6028703,0,42.0961462,-88.6858446
105,42.0759724,-88.5876611,0,42.0887986,-88.6028703
106,42.0696452,-88.5785606,0,42.0759724,-88.5876611
107,42.0665356,-88.5784477,0,42.0696452,-88.5785606
108,42.0665027,-88.5683654,0,42.0665356,-88.5784477
109,42.0506125,-88.5454957,0,42.0665027,-88.5683654
110,42.0201328,-88.4973554,0,42.0506125,-88.5454957
111,41.9901148,-88.4724287,0,42.0201328,-88.4973554
112,41.985101,-88.3406225,0,41.9901148,-88.4724287
113,41.9819893,-88.3276343,0,41.985101,-88.3406225
114,41.9820772,-88.3275278,0,41.9819893,-88.3276343
115,41.9755723,-88.2812256,0,41.9820772,-88.3275278
116,41.9777669,-88.2780544,0,41.9755723,-88.2812256
117,41.9777269,-88.2779952,0,41.9777669,-88.2780544
118,41.9777259,-88.2691654,0,41.9777269,-88.2779952
119,41.974124,-88.2665318,0,41.9777259,-88.2691654
120,41.974222,-88.2663026,0,41.974124,-88.2665318
121,41.9053452,-88.1906159,0,41.974222,-88.2663026
122,41.8976496,-88.1020296,0,41.9053452,-88.1906159
123,41.8904948,-88.008634,0,41.8976496,-88.1020296
124,41.8904657,-88.0061268,0,41.8904948,-88.008634
125,41.8903098,-88.0050082,0,41.8904657,-88.0061268
126,41.8871554,-87.969158,0,41.8903098,-88.0050082
127,41.885903,-87.9691388,0,41.8871554,-87.969158
128,41.8827678,-87.9188967,0,41.885903,-87.9691388
129,41.882574,-87.9188898,0,41.8827678,-87.9188967
130,41.8816759,-87.9081664,0,41.882574,-87.9188898
131,41.8799229,-87.9081557,0,41.8816759,-87.9081664
132,41.8799715,-87.9029689,0,41.8799229,-87.9081557
133,41.8774934,-87.9027262,0,41.8799715,-87.9029689
134,41.8743054,-87.9024815,0,41.8774934,-87.9027262
135,41.8739004,-87.9001197,0,41.8743054,-87.9024815
136,41.8730127,-87.8970693,0,41.8739004,-87.9001197
137,41.8726232,-87.8962419,0,41.8730127,-87.8970693
138,41.8718517,-87.8968726,0,41.8726232,-87.8962419
139,41.8702367,-87.8950318,0,41.8718517,-87.8968726
140,41.8673133,-87.8828512,0,41.8702367,-87.8950318
141,41.8342627,-87.8742273,0,41.8673133,-87.8828512
142,41.8346158,-87.8615775,0,41.8342627,-87.8742273
143,41.827696,-87.8516992,0,41.8346158,-87.8615775
144,41.8279765,-87.8320214,0,41.827696,-87.8516992
145,41.8280332,-87.8288524,0,41.8279765,-87.8320214
146,41.8281509,-87.8197514,0,41.8280332,-87.8288524
147,41.8280211,-87.819721,0,41.8281509,-87.8197514
148,41.8276401,-87.8195547,0,41.8280211,-87.819721
149,41.826651,-87.8189248,0,41.8276401,-87.8195547
150,41.8256282,-87.8152841,0,41.826651,-87.8189248
151,41.8229241,-87.8107417,0,41.8256282,-87.8152841
152,41.8228848,-87.8099556,0,41.8229241,-87.8107417
153,41.8212937,-87.8094361,0,41.8228848,-87.8099556
154,41.8220199,-87.743414,0,41.8212937,-87.8094361
155,41.79307,-87.7418659,0,41.8220199,-87.743414
156,41.7938146,-87.6839746,0,41.79307,-87.7418659
157,41.7937103,-87.6597339,0,41.7938146,-87.6839746
158,41.7777152,-87.6593114,0,41.7937103,-87.6597339
159,41.7746297,-87.6556543,0,41.7777152,-87.6593114
160,41.7746333,-87.6554114,0,41.7746297,-87.6556543
161,41.7736289,-87.6553463,0,41.7746333,-87.6554114
162,41.7723216,-87.6543184,0,41.7736289,-87.6553463
163,41.7727328,-87.6280636,0,41.7723216,-87.6543184
164,41.7729681,-87.6154902,0,41.7727328,-87.6280636
165,41.7228071,-87.5455543,0,41.7729681,-87.6154902
166,41.7229366,-87.5365297,0,41.7228071,-87.5455543
167,41.7127342,-87.5352832,0,41.7229366,-87.5365297
168,41.7026617,-87.5244607,0,41.7127342,-87.5352832
169,41.702652,-87.5245381,0,41.7026617,-87.5244607
170,41.6917877,-87.5246522,0,41.702652,-87.5245381
171,41.6917868,-87.5245496,0,41.6917877,-87.5246522
172,41.6934307,-87.514479,0,41.6917868,-87.5245496
173,41.6623749,-87.4838155,0,41.6934307,-87.514479
174,41.6611965,-87.4833254,0,41.6623749,-87.4838155
175,41.6610489,-87.473444,0,41.6611965,-87.4833254
176,41.6609791,-87.4677449,0,41.6610489,-87.473444
177,41.6496095,-87.4514714,0,41.6609791,-87.4677449
178,41.6492208,-87.4510098,0,41.6496095,-87.4514714
179,41.6492466,-87.4462402,0,41.6492208,-87.4510098
180,41.6477383,-87.4462195,0,41.6492466,-87.4462402
181,41.6477554,-87.443011,0,41.6477383,-87.4462195
182,41.64074,-87.4328923,0,41.6477554,-87.443011
183,41.6368776,-87.4328241,0,41.64074,-87.4328923
184,41.6364527,-87.4322073,0,41.6368776,-87.4328241
185,41.6053154,-87.3925381,0,41.6364527,-87.4322073
186,41.6021386,-87.3245789,0,41.6053154,-87.3925381
187,41.5952456,-87.2828492,0,41.6021386,-87.3245789
188,41.5977608,-87.269605,0,41.5952456,-87.2828492
189,41.617931,-87.1811359,0,41.5977608,-87.269605
190,41.6825575,-86.962617,0,41.617931,-87.1811359
191,41.6951419,-86.9334968,0,41.6825575,-86.962617
192,41.7015205,-86.9141078,0,41.6951419,-86.9334968
193,41.7028884,-86.9140777,0,41.7015205,-86.9141078
194,41.7086172,-86.9089266,0,41.7028884,-86.9140777
195,41.7129587,-86.8864958,0,41.7086172,-86.9089266
196,41.6958674,-86.8184138,0,41.7129587,-86.8864958
197,41.6712166,-86.6029088,0,41.6958674,-86.8184138
198,41.6729741,-86.589024,0,41.6712166,-86.6029088
199,41.6717932,-86.322125,0,41.6729741,-86.589024
200,41.672567,-86.2461526,0,41.6717932,-86.322125
